Tran Id,Tran Date,Remarks,Amount (Rs.),Balance (Rs.)
TR100000,01/01/2023,UPI Transfer to Friend,79708.00 (Dr),120292
TR100001,02/01/2023,Stock Profit Credit,52057.00 (Cr),172349
TR100002,03/01/2023,Luxury Shopping,23440.00 (Cr),195789
TR100003,04/01/2023,IMPS Transfer,51100.00 (Cr),246889
TR100004,05/01/2023,Investment Dividend,33228.00 (Cr),280117
TR100005,06/01/2023,UPI Transfer to Friend,23758.00 (Cr),303875
TR100006,07/01/2023,Stock Profit Credit,53668.00 (Cr),357543
TR100007,08/01/2023,Stock Profit Credit,21946.00 (Cr),379489
TR100008,09/01/2023,Credit Card Bill Payment,33959.00 (Cr),413448
TR100009,10/01/2023,UPI Transfer to Friend,19137.00 (Cr),432585
TR100010,11/01/2023,NEFT Salary Credit,53040.00 (Dr),379545
TR100011,12/01/2023,Luxury Shopping,39183.00 (Cr),418728
TR100012,13/01/2023,UPI/Payment to Merchant,70097.00 (Dr),348631
TR100013,14/01/2023,NEFT Salary Credit,65697.00 (Cr),414328
TR100014,15/01/2023,IMPS Transfer,41539.00 (Cr),455867
TR100015,16/01/2023,Credit Card Bill Payment,76823.00 (Cr),532690
TR100016,17/01/2023,Investment Dividend,18277.00 (Cr),550967
TR100017,18/01/2023,IMPS Transfer,47571.00 (Dr),503396
TR100018,19/01/2023,Stock Profit Credit,36380.00 (Dr),467016
TR100019,20/01/2023,Credit Card Bill Payment,11552.00 (Cr),478568
TR100020,21/01/2023,IMPS Transfer,30114.00 (Dr),448454
TR100021,22/01/2023,UPI/Payment to Merchant,14313.00 (Cr),462767
TR100022,23/01/2023,UPI/Payment to Merchant,15783.00 (Cr),478550
TR100023,24/01/2023,Credit Card Bill Payment,77368.00 (Cr),555918
TR100024,25/01/2023,Travel Booking,50835.00 (Cr),606753
TR100025,26/01/2023,Luxury Shopping,62797.00 (Cr),669550
TR100026,27/01/2023,NEFT Salary Credit,22793.00 (Dr),646757
TR100027,28/01/2023,NEFT Salary Credit,77040.00 (Cr),723797
TR100028,29/01/2023,Luxury Shopping,36447.00 (Cr),760244
TR100029,30/01/2023,UPI Transfer to Friend,71575.00 (Cr),831819
TR100030,31/01/2023,Travel Booking,49690.00 (Cr),881509
TR100031,01/02/2023,Investment Dividend,40616.00 (Cr),922125
TR100032,02/02/2023,Luxury Shopping,77073.00 (Dr),845052
TR100033,03/02/2023,Travel Booking,54096.00 (Cr),899148
TR100034,04/02/2023,Stock Profit Credit,35229.00 (Cr),934377
TR100035,05/02/2023,IMPS Transfer,55717.00 (Cr),990094
TR100036,06/02/2023,Travel Booking,65052.00 (Cr),1055146
TR100037,07/02/2023,Investment Dividend,35483.00 (Dr),1019663
TR100038,08/02/2023,Travel Booking,56347.00 (Cr),1076010
TR100039,09/02/2023,Credit Card Bill Payment,11764.00 (Cr),1087774
TR100040,10/02/2023,Stock Profit Credit,71421.00 (Dr),1016353
TR100041,11/02/2023,Travel Booking,79552.00 (Cr),1095905
TR100042,12/02/2023,Stock Profit Credit,67805.00 (Cr),1163710
TR100043,13/02/2023,Investment Dividend,66337.00 (Cr),1230047
TR100044,14/02/2023,Luxury Shopping,54364.00 (Dr),1175683
TR100045,15/02/2023,Stock Profit Credit,51304.00 (Dr),1124379
TR100046,16/02/2023,NEFT Salary Credit,4178.00 (Cr),1128557
TR100047,17/02/2023,UPI Transfer to Friend,48946.00 (Cr),1177503
TR100048,18/02/2023,IMPS Transfer,16825.00 (Cr),1194328
TR100049,19/02/2023,Luxury Shopping,49810.00 (Dr),1144518
TR100050,20/02/2023,IMPS Transfer,45184.00 (Cr),1189702
TR100051,21/02/2023,Travel Booking,17237.00 (Cr),1206939
TR100052,22/02/2023,Stock Profit Credit,67556.00 (Cr),1274495
TR100053,23/02/2023,IMPS Transfer,24806.00 (Dr),1249689
TR100054,24/02/2023,UPI Transfer to Friend,4033.00 (Cr),1253722
TR100055,25/02/2023,Stock Profit Credit,24197.00 (Cr),1277919
TR100056,26/02/2023,Investment Dividend,58416.00 (Cr),1336335
TR100057,27/02/2023,Credit Card Bill Payment,42665.00 (Cr),1379000
TR100058,28/02/2023,Credit Card Bill Payment,58416.00 (Cr),1437416
TR100059,01/03/2023,Investment Dividend,39774.00 (Cr),1477190
TR100060,02/03/2023,Investment Dividend,75332.00 (Cr),1552522
TR100061,03/03/2023,UPI/Payment to Merchant,3741.00 (Cr),1556263
TR100062,04/03/2023,Travel Booking,50015.00 (Dr),1506248
TR100063,05/03/2023,Travel Booking,33881.00 (Cr),1540129
TR100064,06/03/2023,Luxury Shopping,30469.00 (Cr),1570598
TR100065,07/03/2023,Credit Card Bill Payment,21192.00 (Cr),1591790
TR100066,08/03/2023,Credit Card Bill Payment,53889.00 (Cr),1645679
TR100067,09/03/2023,Stock Profit Credit,36253.00 (Cr),1681932
TR100068,10/03/2023,Investment Dividend,46956.00 (Cr),1728888
TR100069,11/03/2023,UPI Transfer to Friend,22931.00 (Cr),1751819
TR100070,12/03/2023,UPI Transfer to Friend,65872.00 (Cr),1817691
TR100071,13/03/2023,NEFT Salary Credit,19227.00 (Cr),1836918
TR100072,14/03/2023,UPI Transfer to Friend,65965.00 (Dr),1770953
TR100073,15/03/2023,Travel Booking,56740.00 (Cr),1827693
TR100074,16/03/2023,Investment Dividend,50950.00 (Dr),1776743
TR100075,17/03/2023,Investment Dividend,32775.00 (Cr),1809518
TR100076,18/03/2023,NEFT Salary Credit,52204.00 (Cr),1861722
TR100077,19/03/2023,Travel Booking,50160.00 (Dr),1811562
TR100078,20/03/2023,Luxury Shopping,31234.00 (Cr),1842796
TR100079,21/03/2023,Travel Booking,58940.00 (Cr),1901736
TR100080,22/03/2023,Credit Card Bill Payment,76865.00 (Dr),1824871
TR100081,23/03/2023,Travel Booking,69628.00 (Cr),1894499
TR100082,24/03/2023,Stock Profit Credit,29534.00 (Cr),1924033
TR100083,25/03/2023,UPI Transfer to Friend,43351.00 (Dr),1880682
TR100084,26/03/2023,Credit Card Bill Payment,45452.00 (Cr),1926134
TR100085,27/03/2023,Travel Booking,55348.00 (Cr),1981482
TR100086,28/03/2023,Luxury Shopping,8035.00 (Dr),1973447
TR100087,29/03/2023,NEFT Salary Credit,46755.00 (Cr),2020202
TR100088,30/03/2023,Stock Profit Credit,65654.00 (Cr),2085856
TR100089,31/03/2023,Credit Card Bill Payment,15189.00 (Cr),2101045
TR100090,01/04/2023,Investment Dividend,18241.00 (Cr),2119286
TR100091,02/04/2023,Stock Profit Credit,13992.00 (Cr),2133278
TR100092,03/04/2023,UPI Transfer to Friend,63764.00 (Cr),2197042
TR100093,04/04/2023,Travel Booking,5572.00 (Dr),2191470
TR100094,05/04/2023,UPI Transfer to Friend,19571.00 (Cr),2211041
TR100095,06/04/2023,Stock Profit Credit,78457.00 (Cr),2289498
TR100096,07/04/2023,UPI Transfer to Friend,40553.00 (Cr),2330051
TR100097,08/04/2023,IMPS Transfer,2690.00 (Cr),2332741
TR100098,09/04/2023,UPI/Payment to Merchant,59961.00 (Cr),2392702
TR100099,10/04/2023,Luxury Shopping,69063.00 (Cr),2461765
TR100100,11/04/2023,UPI Transfer to Friend,16089.00 (Cr),2477854
TR100101,12/04/2023,NEFT Salary Credit,56127.00 (Dr),2421727
TR100102,13/04/2023,UPI/Payment to Merchant,6420.00 (Dr),2415307
TR100103,14/04/2023,Luxury Shopping,42639.00 (Cr),2457946
TR100104,15/04/2023,Investment Dividend,70988.00 (Cr),2528934
TR100105,16/04/2023,Travel Booking,77608.00 (Dr),2451326
TR100106,17/04/2023,NEFT Salary Credit,50079.00 (Cr),2501405
TR100107,18/04/2023,Travel Booking,55965.00 (Cr),2557370
TR100108,19/04/2023,UPI/Payment to Merchant,32517.00 (Cr),2589887
TR100109,20/04/2023,IMPS Transfer,74661.00 (Cr),2664548
TR100110,21/04/2023,IMPS Transfer,8045.00 (Cr),2672593
TR100111,22/04/2023,IMPS Transfer,26726.00 (Dr),2645867
TR100112,23/04/2023,IMPS Transfer,9500.00 (Cr),2655367
TR100113,24/04/2023,UPI/Payment to Merchant,66827.00 (Dr),2588540
TR100114,25/04/2023,Credit Card Bill Payment,25495.00 (Cr),2614035
